date,mort_rate_1y,mort_rate_float
1/31/2018,4.88,5.75
2/28/2018,4.86,5.75
3/31/2018,4.87,5.75
4/30/2018,4.86,5.76
5/31/2018,4.84,5.77
6/30/2018,4.86,5.77
7/31/2018,4.83,5.77
8/31/2018,4.81,5.77
9/30/2018,4.78,5.77
10/31/2018,4.77,5.77
11/30/2018,4.72,5.77
12/31/2018,4.75,5.77
1/31/2019,4.75,5.77
2/28/2019,4.74,5.77
3/31/2019,4.70,5.78
4/30/2019,4.70,5.78
5/31/2019,4.64,5.74
6/30/2019,4.61,5.73
7/31/2019,4.60,5.73
8/31/2019,4.51,5.49
9/30/2019,4.43,5.45
10/31/2019,4.35,5.45
11/30/2019,4.33,5.45
12/31/2019,4.32,5.45
1/31/2020,4.32,5.45
2/29/2020,4.32,5.45
3/31/2020,4.00,4.81
4/30/2020,3.97,4.78
5/31/2020,3.81,4.75
6/30/2020,3.65,4.62
7/31/2020,3.55,4.60
8/31/2020,3.53,4.60
9/30/2020,3.46,4.60
10/31/2020,3.36,4.54
11/30/2020,3.34,4.51
12/31/2020,3.34,4.51
1/31/2021,3.26,4.51
2/28/2021,3.24,4.51
3/31/2021,3.24,4.51
4/30/2021,3.23,4.51
5/31/2021,3.20,4.47
6/30/2021,3.17,4.47
7/31/2021,3.39,4.52
8/31/2021,3.37,4.52
9/30/2021,3.54,4.52
10/31/2021,3.82,4.65
11/30/2021,4.12,4.83
12/31/2021,4.20,4.91
1/31/2022,4.18,4.91
2/28/2022,4.26,4.94
3/31/2022,4.49,5.08
4/30/2022,4.87,5.39
5/31/2022,4.96,5.51
6/30/2022,5.56,5.89
7/31/2022,5.65,6.22
8/31/2022,5.48,6.54
9/30/2022,5.72,6.65
10/31/2022,6.18,6.99
11/30/2022,6.46,7.33
12/31/2022,6.82,7.81
1/31/2023,6.86,7.80
2/28/2023,6.91,7.84
3/31/2023,6.97,7.98
4/30/2023,7.11,8.27
5/31/2023,7.18,8.37
6/30/2023,7.35,8.45
7/31/2023,7.49,8.51
8/31/2023,7.59,8.58
9/30/2023,7.64,8.59
10/31/2023,7.73,8.61
11/30/2023,7.75,8.61
12/31/2023,7.76,8.61
1/31/2024,7.76,8.61
2/29/2024,7.73,8.61
3/31/2024,7.67,8.61
4/30/2024,7.67,8.61
5/31/2024,7.60,8.61
6/30/2024,7.60,8.61
7/31/2024,7.41,8.61
8/31/2024,7.05,8.45
9/30/2024,6.90,8.45
10/31/2024,6.53,8.11
11/30/2024,6.47,7.96
12/31/2024,6.30,7.66
1/31/2025,6.15,7.63
2/28/2025,5.87,7.33
3/31/2025,5.88,7.24
4/30/2025,5.68,7.00
5/31/2025,5.64,6.92
6/30/2025,5.56,6.79
7/31/2025,5.53,6.79
