date,new_listings_akl,total_stock_akl
1/31/2018,2158,8679
2/28/2018,4110,9588
3/31/2018,4171,9572
4/30/2018,3380,9294
5/31/2018,3528,9022
6/30/2018,2936,8356
7/31/2018,2515,7810
8/31/2018,3086,7817
9/30/2018,3896,8740
10/31/2018,4449,9906
11/30/2018,3831,10431
12/31/2018,1569,8880
1/31/2019,2420,9081
2/28/2019,3705,10234
3/31/2019,4363,11026
4/30/2019,2957,10684
5/31/2019,3398,9997
6/30/2019,2563,9085
7/31/2019,2452,8411
8/31/2019,2653,7956
9/30/2019,3019,8025
10/31/2019,3566,8470
11/30/2019,3562,8188
12/31/2019,1422,6600
1/31/2020,2285,7061
2/29/2020,3920,7927
3/31/2020,3641,7880
4/30/2020,1856,7858
5/31/2020,2973,7879
6/30/2020,3559,8144
7/31/2020,3425,7941
8/31/2020,3188,7399
9/30/2020,4058,7421
10/31/2020,4877,7939
11/30/2020,5195,8229
12/31/2020,2161,5810
1/31/2021,3139,6503
2/28/2021,4363,7196
3/31/2021,4515,8282
4/30/2021,,
5/31/2021,3420,6728
6/30/2021,3081,6249
7/31/2021,3155,5809
8/31/2021,2590,5654
9/30/2021,1709,5859
10/31/2021,4417,6603
11/30/2021,5773,8599
12/31/2021,2434,7595
1/31/2022,2737,8494
2/28/2022,4365,10017
3/31/2022,4033,10736
4/30/2022,3026,9990
5/31/2022,3182,10575
6/30/2022,2899,10451
7/31/2022,2692,10626
8/31/2022,2743,10245
9/30/2022,2680,10159
10/31/2022,3249,10340
11/30/2022,3450,10870
12/31/2022,1576,9708
1/31/2023,2011,9950
2/28/2023,2755,10426
3/31/2023,3143,10541
4/30/2023,2516,10106
5/31/2023,2567,9670
6/30/2023,2213,9021
7/31/2023,2309,8593
8/31/2023,2894,8651
9/30/2023,2858,8873
10/31/2023,3415,9482
11/30/2023,3811,10322
12/31/2023,1392,8936
1/31/2024,2461,9616
2/29/2024,4519,11570
3/31/2024,4129,12408
4/30/2024,3550,12761
5/31/2024,3338,12368
6/30/2024,2943,12162
7/31/2024,2883,11650
8/31/2024,2900,11133
9/30/2024,3311,11256
10/31/2024,4103,11916
11/30/2024,3692,12314
12/31/2024,1373,10560
1/31/2025,2948,11465
2/28/2025,4114,12918
3/31/2025,4516,13693
4/30/2025,2779,13218
5/31/2025,3654,13148
6/30/2025,2912,12670
7/31/2025,2812,12094
8/31/2025,3288,12127
