date,hpi_index
1/31/2018,2855
2/28/2018,2838
3/31/2018,2909
4/30/2018,2900
5/31/2018,2883
6/30/2018,2883
7/31/2018,2883
8/31/2018,2860
9/30/2018,2888
10/31/2018,2885
11/30/2018,2873
12/31/2018,2822
1/31/2019,2799
2/28/2019,2838
3/31/2019,2823
4/30/2019,2772
5/31/2019,2786
6/30/2019,2784
7/31/2019,2789
8/31/2019,2819
9/30/2019,2865
10/31/2019,2863
11/30/2019,2923
12/31/2019,2931
1/31/2020,2918
2/29/2020,3035
3/31/2020,3063
4/30/2020,3006
5/31/2020,2970
6/30/2020,3002
7/31/2020,3050
8/31/2020,3121
9/30/2020,3194
10/31/2020,3304
11/30/2020,3393
12/31/2020,3457
1/31/2021,3436
2/28/2021,3662
3/31/2021,3749
4/30/2021,3738
5/31/2021,3754
6/30/2021,3767
7/31/2021,3897
8/31/2021,3985
9/30/2021,4009
10/31/2021,4149
11/30/2021,4272
12/31/2021,4176
1/31/2022,4064
2/28/2022,4038
3/31/2022,3941
4/30/2022,3836
5/31/2022,3774
6/30/2022,3708
7/31/2022,3604
8/31/2022,3577
9/30/2022,3533
10/31/2022,3550
11/30/2022,3487
12/31/2022,3414
1/31/2023,3359
2/28/2023,3351
3/31/2023,3331
4/30/2023,3296
5/31/2023,3283
6/30/2023,3310
7/31/2023,3347
8/31/2023,3388
9/30/2023,3414
10/31/2023,3462
11/30/2023,3506
12/31/2023,3425
1/31/2024,3433
2/29/2024,3481
3/31/2024,3413
4/30/2024,3357
5/31/2024,3331
6/30/2024,3330
7/31/2024,3269
8/31/2024,3299
9/30/2024,3359
10/31/2024,3364
11/30/2024,3402
12/31/2024,3359
1/31/2025,3355
2/28/2025,3398
3/31/2025,3378
4/30/2025,3349
5/31/2025,3319
6/30/2025,3318
7/31/2025,3263
