date,sales_count_akl,days_to_sell_akl,median_price_akl
1/31/2018,1157,44,820000
2/28/2018,1600,49,858000
3/31/2018,2386,36,880000
4/30/2018,1854,37,850000
5/31/2018,2331,40,852000
6/30/2018,1834,40,850000
7/31/2018,1712,41,835000
8/31/2018,1792,42,852000
9/30/2018,1616,39,850000
10/31/2018,1948,36,865000
11/30/2018,2039,37,867000
12/31/2018,1336,39,862000
1/31/2019,1152,51,800000
2/28/2019,1358,57,850000
3/31/2019,2006,42,856000
4/30/2019,1608,41,850000
5/31/2019,1925,45,860000
6/30/2019,1819,45,850000
7/31/2019,1894,44,830000
8/31/2019,1761,44,820000
9/30/2019,1823,39,848000
10/31/2019,2025,36,868000
11/30/2019,2335,35,885000
12/31/2019,1860,34,890000
1/31/2020,1295,43,875000
2/29/2020,1968,39,888000
3/31/2020,2307,33,950000
4/30/2020,538,34,925000
5/31/2020,1117,61,910000
6/30/2020,2054,55,928000
7/31/2020,2596,35,920000
8/31/2020,2612,35,950000
9/30/2020,2861,36,955000
10/31/2020,3140,30,1000000
11/30/2020,3728,30,1030000
12/31/2020,3219,29,1040000
1/31/2021,1870,35,1000000
2/28/2021,2775,34,1100000
3/31/2021,3872,31,1120000
4/30/2021,2591,31,1125000
5/31/2021,2766,32,1148000
6/30/2021,2766,32,1150000
7/31/2021,2691,32,1175000
8/31/2021,2346,32,1200000
9/30/2021,1338,35,1150000
10/31/2021,2576,45,1250000
11/30/2021,3102,30,1300000
12/31/2021,2313,29,1290000
1/31/2022,1323,34,1200000
2/28/2022,1741,48,1190000
3/31/2022,2367,39,1200000
4/30/2022,1573,40,1170000
5/31/2022,1761,43,1125000
6/30/2022,1618,44,1156000
7/31/2022,1419,45,1100000
8/31/2022,1477,48,1100000
9/30/2022,1633,45,1045000
10/31/2022,1554,43,1090000
11/30/2022,1797,40,1065000
12/31/2022,1327,39,1050000
1/31/2023,943,51,940000
2/28/2023,1049,57,1009000
3/31/2023,1823,45,1000600
4/30/2023,1258,43,995000
5/31/2023,1793,46,995000
6/30/2023,1868,47,1000000
7/31/2023,1645,44,990000
8/31/2023,1819,41,1010000
9/30/2023,1770,39,1015000
10/31/2023,1954,36,1040000
11/30/2023,2071,37,1052000
12/31/2023,1478,37,1050000
1/31/2024,796,54,975000
2/29/2024,1685,50,1026000
3/31/2024,2000,39,1050000
4/30/2024,1757,44,1050000
5/31/2024,1846,46,1025000
6/30/2024,1287,47,1048000
7/31/2024,1805,48,950000
8/31/2024,1801,51,960000
9/30/2024,1881,48,970000
10/31/2024,2113,41,1000500
11/30/2024,2239,40,1038000
12/31/2024,1534,40,1000000
1/31/2025,906,56,949000
2/28/2025,1796,55,1010000
3/31/2025,2362,41,1040000
4/30/2025,1957,40,1000000
5/31/2025,2052,46,975000
6/30/2025,1774,49,990000
7/31/2025,1898,48,975000
