date,dwellings_consent_count
1/31/2018,718
2/28/2018,779
3/31/2018,1082
4/30/2018,1163
5/31/2018,1530
6/30/2018,1001
7/31/2018,1250
8/31/2018,1298
9/30/2018,854
10/31/2018,1077
11/30/2018,1172
12/31/2018,938
1/31/2019,1128
2/28/2019,1354
3/31/2019,1109
4/30/2019,1043
5/31/2019,1657
6/30/2019,1152
7/31/2019,1454
8/31/2019,1407
9/30/2019,1143
10/31/2019,1361
11/30/2019,1120
12/31/2019,1226
1/31/2020,950
2/29/2020,1232
3/31/2020,1187
4/30/2020,894
5/31/2020,1367
6/30/2020,1439
7/31/2020,1569
8/31/2020,1391
9/30/2020,1734
10/31/2020,1564
11/30/2020,1740
12/31/2020,1589
1/31/2021,1410
2/28/2021,1176
3/31/2021,1622
4/30/2021,1623
5/31/2021,1708
6/30/2021,1910
7/31/2021,1691
8/31/2021,2162
9/30/2021,1691
10/31/2021,1614
11/30/2021,2188
12/31/2021,1734
1/31/2022,1202
2/28/2022,1641
3/31/2022,2313
4/30/2022,1614
5/31/2022,1928
6/30/2022,1831
7/31/2022,1825
8/31/2022,1882
9/30/2022,2213
10/31/2022,1589
11/30/2022,1961
12/31/2022,1302
1/31/2023,1064
2/28/2023,1289
3/31/2023,1814
4/30/2023,1331
5/31/2023,1438
6/30/2023,1377
7/31/2023,1483
8/31/2023,1142
9/30/2023,1289
10/31/2023,1179
11/30/2023,1164
12/31/2023,918
1/31/2024,885
2/29/2024,1234
3/31/2024,1259
4/30/2024,1282
5/31/2024,1276
6/30/2024,744
7/31/2024,1290
8/31/2024,1228
9/30/2024,1362
10/31/2024,1221
11/30/2024,1206
12/31/2024,952
1/31/2025,867
2/28/2025,1086
3/31/2025,1535
4/30/2025,981
5/31/2025,1392
