date,filled_jobs_nz
5/31/2019,722233
6/30/2019,723890
7/31/2019,730451
8/31/2019,732281
9/30/2019,735992
10/31/2019,740153
11/30/2019,752591
12/31/2019,757208
1/31/2020,735996
2/29/2020,747535
3/31/2020,748944
4/30/2020,741269
5/31/2020,746596
6/30/2020,747086
7/31/2020,740274
8/31/2020,738251
9/30/2020,736078
10/31/2020,742847
11/30/2020,746399
12/31/2020,754819
1/31/2021,733686
2/28/2021,742549
3/31/2021,747388
4/30/2021,750679
5/31/2021,754059
6/30/2021,757326
7/31/2021,758256
8/31/2021,764248
9/30/2021,763723
10/31/2021,767568
11/30/2021,778083
12/31/2021,782763
1/31/2022,765370
2/28/2022,769747
3/31/2022,769278
4/30/2022,772147
5/31/2022,772128
6/30/2022,773252
7/31/2022,774052
8/31/2022,777101
9/30/2022,780531
10/31/2022,785924
11/30/2022,796263
12/31/2022,794720
1/31/2023,780131
2/28/2023,792283
3/31/2023,798965
4/30/2023,804055
5/31/2023,806442
6/30/2023,808150
7/31/2023,808549
8/31/2023,810273
9/30/2023,811141
10/31/2023,819420
11/30/2023,824546
12/31/2023,824140
1/31/2024,807363
2/29/2024,814350
3/31/2024,818937
4/30/2024,816546
5/31/2024,811823
6/30/2024,806862
7/31/2024,801306
8/31/2024,800680
9/30/2024,799644
10/31/2024,801528
11/30/2024,809629
12/31/2024,807682
1/31/2025,791099
2/28/2025,796574
3/31/2025,799989
4/30/2025,797971
5/31/2025,794507
6/30/2025,791453
