date,net_migration_nz
1/31/2018,4580
2/28/2018,3820
3/31/2018,4110
4/30/2018,4020
5/31/2018,4170
6/30/2018,3840
7/31/2018,4060
8/31/2018,4460
9/30/2018,4550
10/31/2018,3980
11/30/2018,3860
12/31/2018,4200
1/31/2019,4180
2/28/2019,4180
3/31/2019,4250
4/30/2019,4450
5/31/2019,5470
6/30/2019,5050
7/31/2019,5650
8/31/2019,7350
9/30/2019,7170
10/31/2019,8290
11/30/2019,7780
12/31/2019,8740
1/31/2020,7930
2/29/2020,10910
3/31/2020,10120
4/30/2020,100
5/31/2020,370
6/30/2020,380
7/31/2020,70
8/31/2020,1280
9/30/2020,570
10/31/2020,740
11/30/2020,-300
12/31/2020,-2120
1/31/2021,-840
2/28/2021,-880
3/31/2021,-1150
4/30/2021,-860
5/31/2021,-1080
6/30/2021,-2000
7/31/2021,-950
8/31/2021,-1190
9/30/2021,-180
10/31/2021,360
11/30/2021,-1720
12/31/2021,-4450
1/31/2022,-3510
2/28/2022,-3360
3/31/2022,-520
4/30/2022,-870
5/31/2022,-1250
6/30/2022,-60
7/31/2022,2240
8/31/2022,2510
9/30/2022,5460
10/31/2022,5660
11/30/2022,9570
12/31/2022,9020
1/31/2023,9510
2/28/2023,10570
3/31/2023,17060
4/30/2023,14330
5/31/2023,13710
6/30/2023,12390
7/31/2023,7310
8/31/2023,12960
9/30/2023,9890
10/31/2023,7440
11/30/2023,7110
12/31/2023,6950
1/31/2024,3880
2/29/2024,3610
3/31/2024,3720
4/30/2024,2920
5/31/2024,1960
6/30/2024,1910
7/31/2024,1640
8/31/2024,780
9/30/2024,680
10/31/2024,490
11/30/2024,800
12/31/2024,1670
1/31/2025,-150
2/28/2025,2490
3/31/2025,990
4/30/2025,1040
5/31/2025,1370
6/30/2025,1670
